Area Type,Area Name,Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Quarter Employment Estimate,Projected Quarter Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
State,California,2020-2022,4,23-2091,Court Reporters,1600,1700,100,6.3,110,190,400,0.00,0.00,Postsecondary non-degree award,None,Short-term on-the-job training
State,California,2020-2022,4,23-2093,"Title Examiners, Abstractors, and Searchers",4000,4200,200,5.0,280,460,940,28.04,58325.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,23-2099,"Legal Support Workers, All Other",7300,7600,300,4.1,500,830,1630,25.17,52339.00,Associate's degree,None,None
State,California,2020-2022,2,25-0000,"Education, Training, and Library Occupations",1053100,1093900,40800,3.9,91030,105500,237330,28.47,59213.00,N/A,N/A,N/A
State,California,2020-2022,3,25-1000,Postsecondary Teachers,199500,205000,5500,2.8,14890,18550,38940,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,25-1011,"Business Teachers, Postsecondary",5800,6000,200,3.4,430,540,1170,0.00,123360.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1021,"Computer Science Teachers, Postsecondary",2400,2500,100,4.2,180,230,510,0.00,124341.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1022,"Mathematical Science Teachers, Postsecondary",5400,5400,0,0.0,400,500,900,0.00,118131.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1032,"Engineering Teachers, Postsecondary",2900,3000,100,3.4,220,270,590,0.00,124780.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1042,"Biological Science Teachers, Postsecondary",5300,5500,200,3.8,400,500,1100,0.00,123258.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1400,1400,0,0.0,110,130,240,0.00,118039.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1052,"Chemistry Teachers, Postsecondary",1800,1900,100,5.6,140,170,410,0.00,113667.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1054,"Physics Teachers, Postsecondary",1400,1400,0,0.0,110,130,240,0.00,122268.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1500,1600,100,6.7,120,140,360,0.00,89479.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1065,"Political Science Teachers, Postsecondary",1000,1100,100,10.0,80,100,280,0.00,120470.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1066,"Psychology Teachers, Postsecondary",5500,5600,100,1.8,410,510,1020,0.00,110174.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1067,"Sociology Teachers, Postsecondary",1200,1200,0,0.0,90,110,200,0.00,106476.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1069,"Social Sciences Teachers, Postsecondary, All Other",2800,2800,0,0.0,200,250,450,0.00,111920.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1071,"Health Specialties Teachers, Postsecondary",14400,15300,900,6.3,1090,1360,3350,0.00,107896.00,Doctoral or professional degree,<5 years,None
State,California,2020-2022,4,25-1072,"Nursing Instructors and Teachers, Postsecondary",3800,4000,200,5.3,290,360,850,0.00,97211.00,Doctoral or professional degree,<5 years,None
State,California,2020-2022,4,25-1081,"Education Teachers, Postsecondary",4200,4400,200,4.8,320,400,920,0.00,86129.00,Doctoral or professional degree,<5 years,None
State,California,2020-2022,4,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1300,1300,0,0.0,100,120,220,0.00,120276.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1112,"Law Teachers, Postsecondary",2400,2500,100,4.2,180,220,500,0.00,135363.00,Doctoral or professional degree,<5 years,None
State,California,2020-2022,4,25-1121,"Art, Drama, and Music Teachers, Postsecondary",11300,11600,300,2.7,840,1050,2190,0.00,101072.00,Master's degree,None,None
State,California,2020-2022,4,25-1122,"Communications Teachers, Postsecondary",2200,2200,0,0.0,160,200,360,0.00,0.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1123,"English Language and Literature Teachers, Postsecondary",7100,7200,100,1.4,530,650,1280,0.00,117089.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1124,"Foreign Language and Literature Teachers, Postsecondary",3000,3000,0,0.0,220,280,500,0.00,102002.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1125,"History Teachers, Postsecondary",1600,1600,0,0.0,120,150,270,0.00,112084.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1126,"Philosophy and Religion Teachers, Postsecondary",2700,2800,100,3.7,200,250,550,0.00,109745.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1191,Graduate Teaching Assistants,29700,30700,1000,3.4,2220,2770,5990,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,4,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",2100,2100,0,0.0,150,190,340,0.00,111328.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,25-1194,"Vocational Education Teachers, Postsecondary",8500,8700,200,2.4,640,790,1630,38.70,80500.00,Bachelor's degree,<5 years,None
State,California,2020-2022,3,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",410900,427500,16600,4.0,26460,37810,80870,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,25-2011,"Preschool Teachers, Except Special Education",46400,50600,4200,9.1,3840,5890,13930,17.19,35751.00,Associate's degree,None,None
State,California,2020-2022,4,25-2012,"Kindergarten Teachers, Except Special Education",11400,11900,500,4.4,920,1420,2840,0.00,74116.00,Bachelor's degree,None,None
State,California,2020-2022,4,25-2021,"Elementary School Teachers, Except Special Education",159300,164600,5300,3.3,10080,13810,29190,0.00,85148.00,Bachelor's degree,None,None
State,California,2020-2022,4,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",45200,46700,1500,3.3,2860,3920,8280,0.00,81849.00,Bachelor's degree,None,None
State,California,2020-2022,4,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",109900,113700,3800,3.5,6210,9450,19460,0.00,88989.00,Bachelor's degree,None,None
State,California,2020-2022,4,25-2032,"Career/Technical Education Teachers, Secondary School",4500,4600,100,2.2,250,380,730,0.00,80705.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,25-2051,"Special Education Teachers, Preschool",1200,1300,100,8.3,80,110,290,0.00,47559.00,Bachelor's degree,None,None
State,California,2020-2022,4,25-2052,"Special Education Teachers, Kindergarten and Elementary School",14800,15200,400,2.7,990,1260,2650,0.00,79132.00,Bachelor's degree,None,None
State,California,2020-2022,4,25-2053,"Special Education Teachers, Middle School",4600,4700,100,2.2,310,390,800,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,4,25-2054,"Special Education Teachers, Secondary School",10200,10500,300,2.9,680,870,1850,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,4,25-2059,"Special Education Teachers, All Other",2900,3000,100,3.4,200,250,550,0.00,64331.00,Bachelor's degree,None,None
State,California,2020-2022,3,25-3000,Other Teachers and Instructors,213800,224100,10300,4.8,25290,24630,60220,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,10700,10800,100,0.9,1240,1210,2550,40.87,85015.00,Bachelor's degree,None,None
State,California,2020-2022,4,25-3021,Self-Enrichment Education Teachers,33000,35900,2900,8.8,3980,3880,10760,19.68,40929.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,4,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",69500,73200,3700,5.3,8240,8020,19960,0.00,40092.00,Bachelor's degree,None,None
State,California,2020-2022,4,25-3098,Substitute Teachers,100500,104300,3800,3.8,11830,11520,27150,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,3,25-4000,"Librarians, Curators, and Archivists",22500,23000,500,2.2,3120,2590,6210,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,25-4012,Curators,1000,1100,100,10.0,100,140,340,31.22,64923.00,Master's degree,None,None
State,California,2020-2022,4,25-4013,Museum Technicians and Conservators,1800,1900,100,5.6,170,240,510,23.65,49193.00,Bachelor's degree,None,None
State,California,2020-2022,4,25-4021,Librarians,9000,9200,200,2.2,980,830,2010,0.00,0.00,Master's degree,None,None
State,California,2020-2022,4,25-4031,Library Technicians,10300,10400,100,1.0,1840,1330,3270,22.38,46547.00,Postsecondary non-degree award,None,None
State,California,2020-2022,3,25-9000,"Other Education, Training, and Library Occupations",206600,214300,7700,3.7,21270,21920,50890,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,25-9011,Audio-Visual and Multimedia Collections Specialists,1000,1100,100,10.0,90,110,300,0.00,0.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,25-9031,Instructional Coordinators,20600,21400,800,3.9,1750,2150,4700,39.98,83156.00,Master's degree,≥5 years,None
State,California,2020-2022,4,25-9041,Teacher Assistants,160900,167000,6100,3.8,17410,17150,40660,0.00,0.00,"Some college, no degree",None,None
State,California,2020-2022,4,25-9099,"Education, Training, and Library Workers, All Other",23900,24700,800,3.3,2020,2490,5310,24.19,50317.00,Bachelor's degree,None,None
State,California,2020-2022,2,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",365500,413900,48400,13.2,29710,54080,132190,30.13,62666.00,N/A,N/A,N/A
State,California,2020-2022,3,27-1000,Art and Design Workers,129300,146600,17300,13.4,10790,17600,45690,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,27-1011,Art Directors,16300,18300,2000,12.3,1770,1990,5760,59.07,122870.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,4,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",4100,4600,500,12.2,450,500,1450,36.26,75424.00,Bachelor's degree,None,Long-term on-the-job training
State,California,2020-2022,4,27-1014,Multimedia Artists and Animators,24200,27400,3200,13.2,2640,2970,8810,44.07,91644.00,Bachelor's degree,None,None
State,California,2020-2022,4,27-1021,Commercial and Industrial Designers,4700,5200,500,10.6,320,670,1490,36.86,76680.00,Bachelor's degree,None,None
State,California,2020-2022,4,27-1022,Fashion Designers,6300,7500,1200,19.0,450,930,2580,40.54,84331.00,Bachelor's degree,None,None
State,California,2020-2022,4,27-1023,Floral Designers,4900,5800,900,18.4,350,720,1970,16.00,33279.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,27-1024,Graphic Designers,34000,37900,3900,11.5,2330,4830,11060,29.31,60950.00,Bachelor's degree,None,None
State,California,2020-2022,4,27-1025,Interior Designers,9500,11100,1600,16.8,670,1380,3650,31.22,64913.00,Bachelor's degree,None,None
State,California,2020-2022,4,27-1026,Merchandise Displayers and Window Trimmers,18800,21500,2700,14.4,1310,2710,6720,15.44,32125.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,27-1027,Set and Exhibit Designers,2600,3000,400,15.4,180,370,950,27.32,56833.00,Bachelor's degree,None,None
State,California,2020-2022,4,27-1029,"Designers, All Other",2400,2800,400,16.7,170,350,920,39.62,82411.00,Bachelor's degree,None,None
State,California,2020-2022,3,27-2000,"Entertainers and Performers, Sports and Related Workers",84600,96300,11700,13.8,7700,14250,33650,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,27-2011,Actors,12900,15400,2500,19.4,1060,2270,5830,23.25,0.00,"Some college, no degree",None,Long-term on-the-job training
State,California,2020-2022,4,27-2012,Producers and Directors,25100,29000,3900,15.5,1180,4130,9210,48.63,101154.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,27-2022,Coaches and Scouts,23800,26700,2900,12.2,2850,4510,10260,0.00,40766.00,Bachelor's degree,None,None
State,California,2020-2022,4,27-2023,"Umpires, Referees, and Other Sports Officials",1900,2100,200,10.5,230,360,790,0.00,29694.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,27-2041,Music Directors and Composers,3000,3100,100,3.3,350,380,830,27.77,57773.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,27-2042,Musicians and Singers,11400,12200,800,7.0,1350,1460,3610,35.06,0.00,No formal educational credential,None,Long-term on-the-job training
State,California,2020-2022,4,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",5000,5900,900,18.0,470,780,2150,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,3,27-3000,Media and Communication Workers,91900,100700,8800,9.6,7000,13180,28980,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,27-3011,Radio and Television Announcers,3500,3500,0,0.0,290,520,810,26.77,55689.00,Bachelor's degree,None,None
State,California,2020-2022,4,27-3012,Public Address System and Other Announcers,1100,1300,200,18.2,100,180,480,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,27-3022,Reporters and Correspondents,3700,3800,100,2.7,260,660,1020,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,4,27-3031,Public Relations Specialists,26900,29100,2200,8.2,1650,4160,8010,32.36,67314.00,Bachelor's degree,None,None
State,California,2020-2022,4,27-3041,Editors,12400,13300,900,7.3,780,2030,3710,34.03,70797.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,27-3042,Technical Writers,6800,7400,600,8.8,450,940,1990,44.33,92196.00,Bachelor's degree,<5 years,Short-term on-the-job training
State,California,2020-2022,4,27-3043,Writers and Authors,17800,19700,1900,10.7,1600,2310,5810,37.33,77651.00,Bachelor's degree,None,Long-term on-the-job training
State,California,2020-2022,4,27-3091,Interpreters and Translators,11300,12800,1500,13.3,1080,1350,3930,28.27,58815.00,Bachelor's degree,None,None
State,California,2020-2022,4,27-3099,"Media and Communication Workers, All Other",7900,9300,1400,17.7,770,960,3130,26.92,55986.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,3,27-4000,Media and Communication Equipment Workers,59700,70300,10600,17.8,4240,9050,23890,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,27-4011,Audio and Video Equipment Technicians,12700,14700,2000,15.7,900,2020,4920,25.43,52901.00,Postsecondary non-degree award,None,Short-term on-the-job training
State,California,2020-2022,4,27-4012,Broadcast Technicians,4200,4400,200,4.8,290,640,1130,19.37,40286.00,Associate's degree,None,Short-term on-the-job training
State,California,2020-2022,4,27-4014,Sound Engineering Technicians,3300,4200,900,27.3,250,550,1700,0.00,0.00,Postsecondary non-degree award,None,Short-term on-the-job training
State,California,2020-2022,4,27-4021,Photographers,15700,18300,2600,16.6,1300,2060,5960,23.43,48744.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,27-4031,"Camera Operators, Television, Video, and Motion Picture",4600,5500,900,19.6,270,720,1890,31.53,65598.00,Bachelor's degree,None,None
State,California,2020-2022,4,27-4032,Film and Video Editors,11500,14100,2600,22.6,680,1820,5100,42.19,87753.00,Bachelor's degree,None,None
State,California,2020-2022,4,27-4099,"Media and Communication Equipment Workers, All Other",7700,9100,1400,18.2,550,1240,3190,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,2,29-0000,Healthcare Practitioners and Technical Occupations,837600,914200,76600,9.1,45680,52260,174540,46.05,95771.00,N/A,N/A,N/A
State,California,2020-2022,3,29-1000,Health Diagnosing and Treating Practitioners,535000,582300,47300,8.8,27190,26440,100930,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,29-1011,Chiropractors,4400,5100,700,15.9,170,90,960,30.97,64413.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,29-1021,"Dentists, General",13800,20800,7000,50.7,750,300,8050,67.49,140368.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,29-1031,Dietitians and Nutritionists,8100,8700,600,7.4,540,510,1650,38.57,80214.00,Bachelor's degree,None,Internship/residency
State,California,2020-2022,4,29-1041,Optometrists,3900,4500,600,15.4,160,90,850,60.96,126793.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,29-1051,Pharmacists,29400,31200,1800,6.1,1430,1290,4520,72.81,151450.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,29-1061,Anesthesiologists,3800,4200,400,10.5,130,100,630,0.00,0.00,Doctoral or professional degree,None,Internship/residency
State,California,2020-2022,4,29-1062,Family and General Practitioners,13200,14200,1000,7.6,450,350,1800,0.00,0.00,Doctoral or professional degree,None,Internship/residency
State,California,2020-2022,4,29-1063,"Internists, General",2900,3100,200,6.9,100,80,380,0.00,0.00,Doctoral or professional degree,None,Internship/residency
State,California,2020-2022,4,29-1064,Obstetricians and Gynecologists,2100,2300,200,9.5,70,60,330,0.00,0.00,Doctoral or professional degree,None,Internship/residency
State,California,2020-2022,4,29-1065,"Pediatricians, General",3800,4100,300,7.9,130,100,530,0.00,0.00,Doctoral or professional degree,None,Internship/residency
State,California,2020-2022,4,29-1066,Psychiatrists,3700,3900,200,5.4,120,100,420,0.00,0.00,Doctoral or professional degree,None,Internship/residency
State,California,2020-2022,4,29-1067,Surgeons,3400,3700,300,8.8,120,90,510,0.00,0.00,Doctoral or professional degree,None,Internship/residency
State,California,2020-2022,4,29-1069,"Physicians and Surgeons, All Other",37300,40400,3100,8.3,1280,1000,5380,0.00,0.00,Doctoral or professional degree,None,Internship/residency
State,California,2020-2022,4,29-1071,Physician Assistants,10400,12000,1600,15.4,340,930,2870,61.28,127456.00,Master's degree,None,None
State,California,2020-2022,4,29-1122,Occupational Therapists,9400,10500,1100,11.7,440,670,2210,48.77,101440.00,Master's degree,None,None
State,California,2020-2022,4,29-1123,Physical Therapists,21100,23700,2600,12.3,820,1050,4470,49.53,103023.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,29-1124,Radiation Therapists,1100,1100,0,0.0,30,70,100,58.29,121256.00,Associate's degree,None,None
State,California,2020-2022,4,29-1125,Recreational Therapists,1600,1700,100,6.3,70,90,260,40.15,83524.00,Bachelor's degree,None,None
State,California,2020-2022,4,29-1126,Respiratory Therapists,17300,18700,1400,8.1,990,910,3300,40.47,84178.00,Associate's degree,None,None
State,California,2020-2022,4,29-1127,Speech-Language Pathologists,13000,14700,1700,13.1,550,940,3190,45.70,95056.00,Master's degree,None,Internship/residency
State,California,2020-2022,4,29-1128,Exercise Physiologists,1000,1100,100,10.0,50,70,220,34.13,70991.00,Bachelor's degree,None,None
State,California,2020-2022,4,29-1129,"Therapists, All Other",1500,1700,200,13.3,80,100,380,23.85,49602.00,Bachelor's degree,None,None
State,California,2020-2022,4,29-1131,Veterinarians,8100,9600,1500,18.5,340,340,2180,52.97,110194.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,29-1141,Registered Nurses,296400,312700,16300,5.5,16900,15620,48820,54.32,112993.00,Bachelor's degree,None,None
State,California,2020-2022,4,29-1151,Nurse Anesthetists,1200,1300,100,8.3,40,90,230,0.00,0.00,Master's degree,None,None
State,California,2020-2022,4,29-1171,Nurse Practitioners,13700,16100,2400,17.5,590,1010,4000,63.82,132748.00,Master's degree,None,None
State,California,2020-2022,4,29-1181,Audiologists,1000,1100,100,10.0,40,40,180,49.66,103299.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,29-1199,"Health Diagnosing and Treating Practitioners, All Other",5800,6500,700,12.1,350,220,1270,0.00,0.00,Master's degree,None,None
State,California,2020-2022,3,29-2000,Health Technologists and Technicians,286300,314500,28200,9.8,17720,24700,70620,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,29-2010,Clinical Laboratory Technologists and Technicians,28800,30500,1700,5.9,1630,2100,5430,28.54,59367.00,Bachelor's degree,None,None
State,California,2020-2022,4,29-2021,Dental Hygienists,14300,22800,8500,59.4,1550,940,10990,0.00,0.00,Associate's degree,None,None
State,California,2020-2022,4,29-2031,Cardiovascular Technologists and Technicians,4800,5100,300,6.3,240,300,840,35.57,73973.00,Associate's degree,None,None
State,California,2020-2022,4,29-2032,Diagnostic Medical Sonographers,6900,7400,500,7.2,350,430,1280,48.16,100174.00,Associate's degree,None,None
State,California,2020-2022,4,29-2033,Nuclear Medicine Technologists,1500,1600,100,6.7,80,100,280,56.92,118386.00,Associate's degree,None,None
State,California,2020-2022,4,29-2034,Radiologic Technologists,17600,18700,1100,6.3,890,1100,3090,41.58,86486.00,Associate's degree,None,None
State,California,2020-2022,4,29-2035,Magnetic Resonance Imaging Technologists,3300,3600,300,9.1,170,210,680,48.08,100010.00,Associate's degree,<5 years,None
State,California,2020-2022,4,29-2041,Emergency Medical Technicians and Paramedics,21700,23300,1600,7.4,800,2190,4590,0.00,0.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,29-2051,Dietetic Technicians,5200,5400,200,3.8,300,540,1040,15.37,31971.00,Associate's degree,None,None
State,California,2020-2022,4,29-2052,Pharmacy Technicians,34900,38000,3100,8.9,2110,3770,8980,21.26,44208.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,29-2053,Psychiatric Technicians,8500,8800,300,3.5,500,900,1700,32.88,68396.00,Postsecondary non-degree award,<5 years,Short-term on-the-job training
State,California,2020-2022,4,29-2055,Surgical Technologists,9700,10200,500,5.2,580,1030,2110,30.46,63361.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,29-2056,Veterinary Technologists and Technicians,8700,10400,1700,19.5,550,990,3240,20.48,42594.00,Associate's degree,None,None
State,California,2020-2022,4,29-2057,Ophthalmic Medical Technicians,2900,3300,400,13.8,180,320,900,19.37,40276.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,29-2061,Licensed Practical and Licensed Vocational Nurses,64400,68100,3700,5.7,4500,5600,13800,29.08,60480.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,29-2071,Medical Records and Health Information Technicians,22000,23500,1500,6.8,1340,1550,4390,0.00,0.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,29-2081,"Opticians, Dispensing",6500,7500,1000,15.4,550,550,2100,21.37,44443.00,High school diploma or equivalent,None,Long-term on-the-job training
State,California,2020-2022,4,29-2099,"Health Technologists and Technicians, All Other",22800,24300,1500,6.6,1280,1910,4690,0.00,0.00,Postsecondary non-degree award,None,None
State,California,2020-2022,3,29-9000,Other Healthcare Practitioners and Technical Occupations,16300,17400,1100,6.7,770,1120,2990,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,29-9011,Occupational Health and Safety Specialists,8100,8600,500,6.2,380,550,1430,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,4,29-9012,Occupational Health and Safety Technicians,1600,1700,100,6.3,80,110,290,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,29-9091,Athletic Trainers,1400,1500,100,7.1,70,100,270,0.00,57732.00,Bachelor's degree,None,None
State,California,2020-2022,4,29-9099,"Healthcare Practitioners and Technical Workers, All Other",4700,5000,300,6.4,220,320,840,0.00,0.00,Postsecondary non-degree award,None,None
State,California,2020-2022,2,31-0000,Healthcare Support Occupations,338700,390800,52100,15.4,34990,48500,135590,14.32,29779.00,N/A,N/A,N/A
State,California,2020-2022,3,31-1000,"Nursing, Psychiatric, and Home Health Aides",131300,137900,6600,5.0,14480,15700,36780,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,31-1011,Home Health Aides,25700,28000,2300,8.9,2890,3130,8320,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,31-1013,Psychiatric Aides,1800,1900,100,5.6,200,220,520,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,31-1014,Nursing Assistants,99300,103400,4100,4.1,10900,11820,26820,0.00,0.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,31-1015,Orderlies,4500,4700,200,4.4,490,530,1220,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,3,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,13800,16300,2500,18.1,1300,2340,6140,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,31-2011,Occupational Therapy Assistants,2100,2500,400,19.0,200,300,900,35.49,73804.00,Associate's degree,None,None
State,California,2020-2022,4,31-2021,Physical Therapist Assistants,4900,5800,900,18.4,460,870,2230,34.48,71713.00,Associate's degree,None,None
State,California,2020-2022,4,31-2022,Physical Therapist Aides,6100,7200,1100,18.0,570,1070,2740,14.18,29511.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,3,31-9000,Other Healthcare Support Occupations,193500,236600,43100,22.3,19220,30450,92770,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,31-9011,Massage Therapists,9600,17500,7900,82.3,1690,1460,11050,17.37,36114.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,31-9091,Dental Assistants,35100,54400,19300,55.0,4150,5890,29340,20.46,42562.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,31-9092,Medical Assistants,92000,102700,10700,11.6,7600,13850,32150,18.64,38772.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,31-9093,Medical Equipment Preparers,6300,6800,500,7.9,640,840,1980,24.42,50792.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,31-9094,Medical Transcriptionists,5000,5400,400,8.0,630,820,1850,17.70,36814.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,31-9095,Pharmacy Aides,8600,9100,500,5.8,860,1400,2760,15.68,32612.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,11900,14000,2100,17.6,1410,2770,6280,15.96,33178.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,31-9097,Phlebotomists,12500,13400,900,7.2,970,1770,3640,22.11,45982.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,31-9099,"Healthcare Support Workers, All Other",12600,13300,700,5.6,1270,1670,3640,22.75,47321.00,High school diploma or equivalent,None,None
State,California,2020-2022,2,33-0000,Protective Service Occupations,371300,386200,14900,4.0,35970,49430,100300,22.96,47754.00,N/A,N/A,N/A
State,California,2020-2022,3,33-1000,Supervisors of Protective Service Workers,21600,22300,700,3.2,1350,2060,4110,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,33-1011,First-Line Supervisors of Correctional Officers,4800,4800,0,0.0,300,370,670,51.46,107034.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,4,33-1012,First-Line Supervisors of Police and Detectives,5100,5100,0,0.0,250,380,630,77.69,161597.00,High school diploma or equivalent,<5 years,Moderate-term on-the-job training
State,California,2020-2022,4,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,2800,2900,100,3.6,140,220,460,64.09,133301.00,Postsecondary non-degree award,<5 years,Moderate-term on-the-job training
State,California,2020-2022,3,33-2000,Fire Fighting and Prevention Workers,32800,33500,700,2.1,1240,3320,5260,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,33-2011,Firefighters,31800,32400,600,1.9,1160,3220,4980,38.29,79645.00,Postsecondary non-degree award,None,Long-term on-the-job training
State,California,2020-2022,3,33-3000,Law Enforcement Workers,120700,122000,1300,1.1,6790,11420,19510,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,33-3012,Correctional Officers and Jailers,36300,36400,100,0.3,2770,3640,6510,39.59,82333.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,33-3021,Detectives and Criminal Investigators,12000,12100,100,0.8,510,1040,1650,50.21,104428.00,High school diploma or equivalent,<5 years,Moderate-term on-the-job training
