Area Type,Area Name (County Names),Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total  Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-2012,Commercial Pilots,1090,1280,190,17.4,330,870,1390,0.00,124990.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-2021,Air Traffic Controllers,610,660,50,8.2,150,440,640,0.00,0.00,Associate's degree,None,Long-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-2022,Airfield Operations Specialists,680,740,60,8.8,170,490,720,26.94,56035.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-2031,Flight Attendants,10320,9840,-480,-4.7,5290,6080,10890,0.00,60141.00,High school diploma or equivalent,<5 years,Moderate-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,3,53-3000,Motor Vehicle Operators,112710,127170,14460,12.8,58050,80570,153080,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",120,130,10,8.3,70,120,200,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-3021,"Bus Drivers, Transit and Intercity",7950,8880,930,11.7,6530,4090,11550,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-3022,"Bus Drivers, School or Special Client",7060,7630,570,8.1,5700,3570,9840,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-3031,Driver/Sales Workers,13120,13380,260,2.0,5450,9610,15320,15.68,32601.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-3032,Heavy and Tractor-Trailer Truck Drivers,36010,40580,4570,12.7,15770,27780,48120,23.11,48073.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-3033,Light Truck or Delivery Services Drivers,34030,38580,4550,13.4,14950,26330,45830,18.43,38327.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-3041,Taxi Drivers and Chauffeurs,12750,15970,3220,25.3,7710,7840,18770,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-3099,"Motor Vehicle Operators, All Other",1680,2030,350,20.8,1880,1240,3470,31.95,66455.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,3,53-4000,Rail Transportation Workers,2640,2640,0,0.0,770,1730,2500,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-4041,Subway and Streetcar Operators,310,330,20,6.5,130,200,350,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-4099,"Rail Transportation Workers, All Other",100,140,40,40.0,50,80,170,18.89,39306.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,3,53-5000,Water Transportation Workers,8100,9910,1810,22.3,2570,7480,11860,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,3,53-6000,Other Transportation Workers,15810,16740,930,5.9,8220,14840,23990,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-6021,Parking Lot Attendants,10310,10790,480,4.7,5420,10700,16600,14.33,29810.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-6031,Automotive and Watercraft Service Attendants,1190,1270,80,6.7,550,1270,1900,14.93,31066.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-6041,Traffic Technicians,280,320,40,14.3,100,210,350,24.95,51893.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-6051,Transportation Inspectors,1220,1280,60,4.9,380,880,1320,43.33,90127.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,3,53-7000,Material Moving Workers,174330,188210,13880,8.0,85040,164530,263450,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-7011,Conveyor Operators and Tenders,630,720,90,14.3,230,570,890,15.81,32885.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-7021,Crane and Tower Operators,1090,1290,200,18.3,380,1020,1600,38.30,79663.00,High school diploma or equivalent,<5 years,Moderate-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-7032,Excavating and Loading Machine and Dragline Operators,360,390,30,8.3,140,310,480,0.00,0.00,High school diploma or equivalent,<5 years,Moderate-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-7051,Industrial Truck and Tractor Operators,13860,15160,1300,9.4,4350,11980,17630,17.89,37201.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-7061,Cleaners of Vehicles and Equipment,18000,18430,430,2.4,9070,17440,26940,14.25,29631.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",102420,113350,10930,10.7,48720,101120,160770,14.90,30988.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-7063,Machine Feeders and Offbearers,1440,1210,-230,-16.0,670,1080,1520,15.09,31388.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-7064,"Packers and Packagers, Hand",29150,29460,310,1.1,17530,24690,42530,13.64,28360.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-7081,Refuse and Recyclable Material Collectors,3810,4300,490,12.9,2210,3390,6090,28.80,59899.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,4,53-7199,"Material Moving Workers, All Other",3220,3490,270,8.4,1600,2620,4490,15.01,31228.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,1,00-0000,"Total, All Occupations",53400,60800,7400,13.9,25610,44870,77880,17.30,35977.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,11-0000,Management Occupations,3140,3550,410,13.1,1250,1710,3370,48.38,100632.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,11-1000,Top Executives,520,590,70,13.5,120,350,540,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-1011,Chief Executives,80,80,0,0.0,20,40,60,66.89,139138.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-1021,General and Operations Managers,430,490,60,14.0,100,300,460,44.40,92354.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",170,190,20,11.8,40,120,180,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-2022,Sales Managers,150,170,20,13.3,30,110,160,40.39,84016.00,Bachelor's degree,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,11-3000,Operations Specialties Managers,400,460,60,15.0,100,240,400,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-3011,Administrative Services Managers,80,80,0,0.0,20,50,70,0.00,0.00,Bachelor's degree,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-3021,Computer and Information Systems Managers,40,40,0,0.0,10,20,30,69.86,145318.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-3031,Financial Managers,110,140,30,27.3,30,70,130,49.08,102098.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-3051,Industrial Production Managers,70,70,0,0.0,20,40,60,55.82,116107.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,11-9000,Other Management Occupations,2050,2310,260,12.7,990,1000,2250,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",1110,1210,100,9.0,720,430,1250,47.14,98056.00,High school diploma or equivalent,≥5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-9021,Construction Managers,80,100,20,25.0,20,50,90,57.07,118704.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-9032,"Education Administrators, Elementary and Secondary School",80,90,10,12.5,20,50,80,0.00,0.00,Master's degree,≥5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-9041,Architectural and Engineering Managers,30,40,10,33.3,10,20,40,0.00,0.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-9051,Food Service Managers,130,150,20,15.4,40,120,180,25.10,52199.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-9111,Medical and Health Services Managers,120,140,20,16.7,30,70,120,0.00,0.00,Bachelor's degree,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-9141,"Property, Real Estate, and Community Association Managers",100,120,20,20.0,40,40,100,26.17,54429.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-9151,Social and Community Service Managers,60,70,10,16.7,20,40,70,30.62,63674.00,Bachelor's degree,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,11-9199,"Managers, All Other",220,250,30,13.6,60,120,210,0.00,0.00,Bachelor's degree,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,13-0000,Business and Financial Operations Occupations,1380,1570,190,13.8,420,1000,1610,33.20,69060.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,13-1000,Business Operations Specialists,1070,1220,150,14.0,320,790,1260,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,13-1020,Buyers and Purchasing Agents,90,90,0,0.0,30,70,100,34.52,71819.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,13-1041,Compliance Officers,80,80,0,0.0,20,50,70,27.00,56170.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,13-1051,Cost Estimators,60,70,10,16.7,20,50,80,36.59,76115.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,13-1071,Human Resources Specialists,110,120,10,9.1,30,80,120,28.31,58889.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,13-1111,Management Analysts,180,220,40,22.2,60,130,230,37.75,78518.00,Bachelor's degree,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,13-1151,Training and Development Specialists,30,30,0,0.0,10,20,30,35.06,72939.00,Bachelor's degree,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,13-1161,Market Research Analysts and Marketing Specialists,40,60,20,50.0,10,40,70,32.22,67034.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,13-1199,"Business Operations Specialists, All Other",410,470,60,14.6,120,300,480,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,13-2000,Financial Specialists,310,350,40,12.9,100,210,350,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,13-2011,Accountants and Auditors,190,220,30,15.8,60,130,220,31.68,65893.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,15-0000,Computer and Mathematical Occupations,320,370,50,15.6,60,200,310,36.55,76006.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,15-1100,Computer Occupations,300,330,30,10.0,50,180,260,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,15-1121,Computer Systems Analysts,60,60,0,0.0,10,30,40,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,15-1132,"Software Developers, Applications",40,40,0,0.0,10,20,30,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,15-1142,Network and Computer Systems Administrators,50,50,0,0.0,10,30,40,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,15-1151,Computer User Support Specialists,80,90,10,12.5,20,50,80,0.00,0.00,"Some college, no degree",None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,15-1199,"Computer Occupations, All Other",30,30,0,0.0,0,20,20,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,17-0000,Architecture and Engineering Occupations,300,350,50,16.7,80,180,310,40.01,83228.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,17-2000,Engineers,190,220,30,15.8,40,100,170,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,17-2071,Electrical Engineers,40,50,10,25.0,10,20,40,58.78,122268.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,17-2141,Mechanical Engineers,30,40,10,33.3,10,20,40,54.59,113534.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,17-2199,"Engineers, All Other",40,50,10,25.0,10,20,40,52.11,108396.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",100,110,10,10.0,30,80,120,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,17-3023,Electrical and Electronics Engineering Technicians,30,30,0,0.0,10,20,30,31.15,64801.00,Associate's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,19-0000,"Life, Physical, and Social Science Occupations",480,550,70,14.6,110,370,550,40.74,84719.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,19-1000,Life Scientists,70,80,10,14.3,10,60,80,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,19-2000,Physical Scientists,60,80,20,33.3,10,60,90,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,19-2041,"Environmental Scientists and Specialists, Including Health",50,60,10,20.0,10,50,70,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,19-3000,Social Scientists and Related Workers,240,270,30,12.5,60,140,230,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,19-3031,"Clinical, Counseling, and School Psychologists",190,210,20,10.5,40,90,150,59.45,123646.00,Doctoral or professional degree,None,Internship/residency
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,19-3051,Urban and Regional Planners,40,60,20,50.0,10,40,70,0.00,0.00,Master's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,19-4000,"Life, Physical, and Social Science Technicians",110,120,10,9.1,30,110,150,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,19-4093,Forest and Conservation Technicians,80,80,0,0.0,20,70,90,0.00,0.00,Associate's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,21-0000,Community and Social Service Occupations,740,820,80,10.8,270,550,900,25.71,53473.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",670,730,60,9.0,230,500,790,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,21-1015,Rehabilitation Counselors,30,20,-10,-33.3,10,20,20,16.93,35199.00,Master's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,21-1021,"Child, Family, and School Social Workers",70,80,10,14.3,20,50,80,24.01,49949.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,21-1023,Mental Health and Substance Abuse Social Workers,50,60,10,20.0,20,40,70,41.27,85832.00,Master's degree,None,Internship/residency
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,21-1092,Probation Officers and Correctional Treatment Specialists,80,90,10,12.5,20,50,80,0.00,0.00,Bachelor's degree,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,21-1093,Social and Human Service Assistants,180,200,20,11.1,80,150,250,19.06,39632.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,21-1099,"Community and Social Service Specialists, All Other",30,40,10,33.3,10,20,40,16.26,33820.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,21-2000,Religious Workers,70,80,10,14.3,40,50,100,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,21-2011,Clergy,50,60,10,20.0,30,40,80,35.13,73075.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,23-0000,Legal Occupations,50,50,0,0.0,10,20,30,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,23-1000,"Lawyers, Judges, and Related Workers",40,50,10,25.0,10,10,30,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,25-0000,"Education, Training, and Library Occupations",3890,4300,410,10.5,1770,2010,4190,28.39,59040.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,25-1000,Postsecondary Teachers,160,190,30,18.8,60,80,170,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,25-1194,"Vocational Education Teachers, Postsecondary",30,30,0,0.0,10,10,20,0.00,0.00,Bachelor's degree,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,25-1199,"Postsecondary Teachers, All Other",40,40,0,0.0,10,20,30,0.00,0.00,Doctoral or professional degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",1840,2020,180,9.8,620,870,1670,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,25-2011,"Preschool Teachers, Except Special Education",200,200,0,0.0,80,120,200,0.00,0.00,Associate's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,25-2021,"Elementary School Teachers, Except Special Education",980,1080,100,10.2,320,440,860,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",290,320,30,10.3,90,130,250,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,25-3000,Other Teachers and Instructors,620,690,70,11.3,380,370,820,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,25-3021,Self-Enrichment Education Teachers,50,70,20,40.0,40,30,90,15.14,31491.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,25-3098,Substitute Teachers,470,520,50,10.6,290,280,620,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,25-4000,"Librarians, Curators, and Archivists",90,100,10,11.1,70,50,130,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,25-4021,Librarians,30,40,10,33.3,20,20,50,0.00,0.00,Master's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,25-4031,Library Technicians,60,60,0,0.0,50,40,90,0.00,0.00,Postsecondary non-degree award,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,25-9000,"Other Education, Training, and Library Occupations",1170,1300,130,11.1,640,650,1420,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,25-9031,Instructional Coordinators,80,90,10,12.5,30,40,80,0.00,0.00,Master's degree,≥5 years,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",300,340,40,13.3,140,230,410,26.79,55720.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,27-1000,Art and Design Workers,90,100,10,11.1,30,60,100,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,27-2000,"Entertainers and Performers, Sports and Related Workers",100,120,20,20.0,60,100,180,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,27-3000,Media and Communication Workers,100,110,10,10.0,40,60,110,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,29-0000,Healthcare Practitioners and Technical Occupations,3640,4260,620,17.0,1040,1200,2860,41.50,86312.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,29-1000,Health Diagnosing and Treating Practitioners,2370,2860,490,20.7,660,640,1790,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-1021,"Dentists, General",80,80,0,0.0,20,10,30,100.87,209806.00,Doctoral or professional degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-1031,Dietitians and Nutritionists,30,40,10,33.3,10,10,30,38.54,80163.00,Bachelor's degree,None,Internship/residency
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-1051,Pharmacists,120,130,10,8.3,30,30,70,76.38,158886.00,Doctoral or professional degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-1071,Physician Assistants,40,60,20,50.0,10,20,50,67.12,139602.00,Master's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-1123,Physical Therapists,40,40,0,0.0,10,10,20,50.93,105935.00,Doctoral or professional degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-1171,Nurse Practitioners,90,130,40,44.4,20,40,100,0.00,0.00,Master's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,29-2000,Health Technologists and Technicians,1250,1380,130,10.4,370,550,1050,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-2034,Radiologic Technologists,80,90,10,12.5,20,30,60,38.55,80184.00,Associate's degree,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-2041,Emergency Medical Technicians and Paramedics,160,170,10,6.3,30,80,120,0.00,0.00,Postsecondary non-degree award,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-2052,Pharmacy Technicians,180,200,20,11.1,60,100,180,23.22,48304.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-2053,Psychiatric Technicians,40,50,10,25.0,10,20,40,0.00,0.00,Postsecondary non-degree award,<5 years,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-2055,Surgical Technologists,50,60,10,20.0,20,30,60,0.00,0.00,Postsecondary non-degree award,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-2061,Licensed Practical and Licensed Vocational Nurses,210,240,30,14.3,80,90,200,31.90,66353.00,Postsecondary non-degree award,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-2071,Medical Records and Health Information Technicians,190,190,0,0.0,60,70,130,0.00,0.00,Postsecondary non-degree award,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,29-2099,"Health Technologists and Technicians, All Other",110,120,10,9.1,30,50,90,0.00,0.00,Postsecondary non-degree award,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,2,31-0000,Healthcare Support Occupations,1060,1270,210,19.8,550,760,1520,14.41,29965.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,31-1000,"Nursing, Psychiatric, and Home Health Aides",420,480,60,14.3,240,260,560,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,31-1014,Nursing Assistants,370,420,50,13.5,210,230,490,0.00,0.00,Postsecondary non-degree award,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,30,40,10,33.3,10,30,50,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,31-2022,Physical Therapist Aides,30,30,0,0.0,10,20,30,14.85,30892.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA (Madera County),2018-2028,3,31-9000,Other Healthcare Support Occupations,610,750,140,23.0,290,480,910,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,31-9091,Dental Assistants,220,240,20,9.1,110,150,280,21.95,45663.00,Postsecondary non-degree award,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,31-9092,Medical Assistants,260,340,80,30.8,120,220,420,14.74,30644.00,Postsecondary non-degree award,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,31-9097,Phlebotomists,50,60,10,20.0,20,40,70,19.75,41079.00,Postsecondary non-degree award,None,None
Metropolitan Area,Madera MSA (Madera County),2018-2028,4,31-9099,"Healthcare Support Workers, All Other",30,30,0,0.0,20,20,40,22.84,47496.00,High school diploma or equivalent,None,None
