Area Type,Area Name (County Names),Period,Series Code,Industry Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20236200,Nonresidential Building Construction,15100,15900,800,5.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20237000,Heavy and Civil Engineering Construction,15100,15500,400,2.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20238000,Specialty Trade Contractors,94600,105300,10700,11.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20238100,"Foundation, Structure, and Building Exterior Contractors",19700,22700,3000,15.2
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20238200,Building Equipment Contractors,41900,46200,4300,10.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20238300,Building Finishing Contractors,22600,25600,3000,13.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20238900,Other Specialty Trade Contractors,10400,10800,400,3.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,30000000,Manufacturing,341200,300900,-40300,-11.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31000000,Durable Goods Manufacturing,199800,181700,-18100,-9.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31331000,Primary Metal Manufacturing,6000,5200,-800,-13.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31332000,Fabricated Metal Product Manufacturing,43300,39900,-3400,-7.9
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31333000,Machinery Manufacturing,13800,12600,-1200,-8.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31334000,Computer and Electronic Product Manufacturing,39000,34000,-5000,-12.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",22500,20100,-2400,-10.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31335000,"Electrical Equipment, Appliance, and Component Manufacturing",9200,8000,-1200,-13.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31336000,Transportation Equipment Manufacturing,46900,45700,-1200,-2.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31336400,Aerospace Product and Parts Manufacturing,37500,37100,-400,-1.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31337000,Furniture and Related Product Manufacturing,13200,9900,-3300,-25.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31337100,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,8600,5800,-2800,-32.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31339000,Miscellaneous Manufacturing,19000,17500,-1500,-7.9
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32000000,Nondurable Goods Manufacturing,141300,119200,-22100,-15.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32311000,Food Manufacturing,40200,38500,-1700,-4.2
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32311500,Dairy Product Manufacturing,4300,3800,-500,-11.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32311600,Animal Slaughtering and Processing,4500,4200,-300,-6.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32311800,Bakeries and Tortilla Manufacturing,15600,15000,-600,-3.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32313000,Textile Mills,4500,3000,-1500,-33.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32315000,Apparel Manufacturing,28000,17200,-10800,-38.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32315200,Cut and Sew Apparel Manufacturing,25900,15800,-10100,-39.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32322000,Paper Manufacturing,6500,5800,-700,-10.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32323000,Printing and Related Support Activities,13000,8700,-4300,-33.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32324000,Petroleum and Coal Products Manufacturing,5600,5000,-600,-10.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32325000,Chemical Manufacturing,19300,19300,0,0.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32325400,Pharmaceutical and Medicine Manufacturing,7700,8900,1200,15.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32326000,Plastics and Rubber Products Manufacturing,12000,9800,-2200,-18.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,40000000,"Trade, Transportation, and Utilities",851600,899700,48100,5.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41000000,Wholesale Trade,223200,229500,6300,2.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41423000,"Merchant Wholesalers, Durable Goods",103200,101100,-2100,-2.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,12800,12100,-700,-5.5
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers,15800,15300,-500,-3.2
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41423600,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,12700,12100,-600,-4.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41423800,"Machinery, Equipment, and Supplies Merchant Wholesalers",15300,14400,-900,-5.9
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41423900,Miscellaneous Durable Goods Merchant Wholesalers,19100,19200,100,0.5
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41424000,"Merchant Wholesalers, Nondurable Goods",108600,120100,11500,10.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41424300,"Apparel, Piece Goods, and Notions Merchant Wholesalers",26500,30600,4100,15.5
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41424400,Grocery and Related Product Merchant Wholesalers,40900,46500,5600,13.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41424900,Miscellaneous Nondurable Goods Merchant Wholesalers,14900,15600,700,4.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41425000,Wholesale Electronic Markets and Agents and Brokers,11400,8300,-3100,-27.2
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42000000,Retail Trade,424800,443000,18200,4.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42441000,Motor Vehicle and Parts Dealers,46900,48000,1100,2.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42441100,Automobile Dealers,32900,35300,2400,7.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42441200,Other Motor Vehicle Dealers,1900,2100,200,10.5
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42441300,"Automotive Parts, Accessories, and Tire Stores",12000,10600,-1400,-11.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42442000,Furniture and Home Furnishings Stores,13900,14600,700,5.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42443000,Electronics and Appliance Stores,17300,15000,-2300,-13.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42444000,Building Material and Garden Equipment and Supplies Dealers,24800,26100,1300,5.2
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42445000,Food and Beverage Stores,92500,100000,7500,8.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42445100,Grocery Stores,80800,88500,7700,9.5
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42446000,Health and Personal Care Stores,33500,35700,2200,6.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42447000,Gasoline Stations,12300,12600,300,2.4
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42448000,Clothing and Clothing Accessories Stores,60300,63700,3400,5.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",13700,11000,-2700,-19.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42451100,"Sporting Goods, Hobby, and Musical Instrument Stores",11200,9400,-1800,-16.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42451200,Book Stores and News Dealers,2500,1600,-900,-36.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42452000,General Merchandise Stores,68200,70500,2300,3.4
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42452200,Department Stores,26100,17300,-8800,-33.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42452300,"General Merchandise Stores, including Warehouse Clubs and Supercenters",42100,53200,11100,26.4
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42453000,Miscellaneous Store Retailers,24800,23900,-900,-3.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42454000,Nonstore Retailers,16700,21900,5200,31.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",203600,227200,23600,11.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43220000,Utilities,11500,11000,-500,-4.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43400089,Transportation and Warehousing,192100,216200,24100,12.5
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43481000,Air Transportation,33700,31100,-2600,-7.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43484000,Truck Transportation,31400,35700,4300,13.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43485000,Transit and Ground Passenger Transportation,11300,12200,900,8.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43488000,Support Activities for Transportation,59200,68900,9700,16.4
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43492000,Couriers and Messengers,29000,36200,7200,24.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43493000,Warehousing and Storage,19900,24400,4500,22.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50000000,Information,216400,235500,19100,8.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50511000,Publishing Industries (except Internet),17800,19300,1500,8.4
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50511100,"Newspaper, Periodical, Book, and Directory Publishers",7500,5100,-2400,-32.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50512000,Motion Picture and Sound Recording Industries,132000,144000,12000,9.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50515000,Broadcasting (except Internet),24100,26100,2000,8.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50515100,Radio and Television Broadcasting,18400,19700,1300,7.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50515200,Cable and Other Subscription Programming,5600,6400,800,14.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50517000,Telecommunications,19700,16600,-3100,-15.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50518000,"Data Processing, Hosting, and Related Services",8500,10100,1600,18.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55000000,Financial Activities,223200,224900,1700,0.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55520000,Finance and Insurance,136500,130600,-5900,-4.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55522000,Credit Intermediation and Related Activities,59900,56600,-3300,-5.5
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55522100,Depository Credit Intermediation,40000,36800,-3200,-8.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55522200,Nondepository Credit Intermediation,12000,11800,-200,-1.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55522300,Activities Related to Credit Intermediation,7900,8000,100,1.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",26600,27700,1100,4.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55524000,Insurance Carriers and Related Activities,50100,46300,-3800,-7.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55524100,Insurance Carriers,21600,18400,-3200,-14.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55524200,"Agencies, Brokerages, and Other Insurance Related Activities",28500,27900,-600,-2.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55530000,Real Estate and Rental and Leasing,86700,94300,7600,8.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55531000,Real Estate,65700,72500,6800,10.4
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55531100,Lessors of Real Estate,19000,19700,700,3.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55531200,Offices of Real Estate Agents and Brokers,14200,15200,1000,7.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55531300,Activities Related to Real Estate,32500,37600,5100,15.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55539999,Real Estate and Rental and Leasing - Residual,21000,21800,800,3.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60000000,Professional and Business Services,630400,691900,61500,9.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60540000,"Professional, Scientific, and Technical Services",291300,326300,35000,12.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541100,Legal Services,52800,54800,2000,3.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541200,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",45200,46900,1700,3.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541300,"Architectural, Engineering, and Related Services",34500,36600,2100,6.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541500,Computer Systems Design and Related Services,37500,44600,7100,18.9
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541600,"Management, Scientific, and Technical Consulting Services",51300,66500,15200,29.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541700,Scientific Research and Development Services,17700,21900,4200,23.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541800,"Advertising, Public Relations, and Related Services",25300,25700,400,1.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60550000,Management of Companies and Enterprises,62900,64900,2000,3.2
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60560000,Administrative and Support and Waste Management and Remediation Services,276200,300700,24500,8.9
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60561000,Administrative and Support Services,265000,287700,22700,8.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60561300,Employment Services,103500,111400,7900,7.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60561400,Business Support Services,15200,14500,-700,-4.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60561500,Travel Arrangement and Reservation Services,9200,8100,-1100,-12.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60561600,Investigation and Security Services,51700,60200,8500,16.4
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60561700,Services to Buildings and Dwellings,48700,53500,4800,9.9
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",821300,1015900,194600,23.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65610000,Educational Services (Private),131300,155200,23900,18.2
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65611100,Elementary and Secondary Schools,30500,35600,5100,16.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65611300,"Colleges, Universities, and Professional Schools",71800,84500,12700,17.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65620000,Health Care and Social Assistance,690100,860700,170600,24.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65621000,Ambulatory Health Care Services,226600,273000,46400,20.5
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65621100,Offices of Physicians,62100,69400,7300,11.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65621200,Offices of Dentists,32000,36400,4400,13.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65621300,Offices of Other Health Practitioners,26800,35000,8200,30.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65622000,Hospitals (Private),118600,129400,10800,9.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65623000,Nursing and Residential Care Facilities,85100,96900,11800,13.9
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65623100,Nursing Care Facilities (Skilled Nursing Facilities),46900,53000,6100,13.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65624000,Social Assistance,259800,361400,101600,39.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65624100,Individual and Family Services,226600,324900,98300,43.4
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65624400,Child Day Care Services,19400,21500,2100,10.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,70000000,Leisure and Hospitality,536500,610200,73700,13.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,70710000,"Arts, Entertainment, and Recreation",94300,104900,10600,11.2
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,70711000,"Performing Arts, Spectator Sports, and Related Industries",44200,47900,3700,8.4
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,70711500,"Independent Artists, Writers, and Performers",11100,12300,1200,10.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,70712000,"Museums, Historical Sites, and Similar Institutions",5700,6800,1100,19.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,70713000,"Amusement, Gambling, and Recreation Industries",44400,50200,5800,13.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,70713200,Gambling Industries,7500,9000,1500,20.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,70713900,Other Amusement and Recreation Industries,31500,34700,3200,10.2
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,70720000,Accommodation and Food Services,442200,505300,63100,14.3
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,70721000,Accommodation,50300,53100,2800,5.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,70722000,Food Services and Drinking Places,391900,452200,60300,15.4
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,70722300,Special Food Services,21300,22800,1500,7.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,70722500,Restaurants and Other Eating Places,362200,420500,58300,16.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),158800,166400,7600,4.8
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,80811000,Repair and Maintenance,38700,37300,-1400,-3.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,80812000,Personal and Laundry Services,57100,63200,6100,10.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,80813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",63000,65900,2900,4.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,90000000,Government,590600,612100,21500,3.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,90910000,Federal Government,47300,46000,-1300,-2.7
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,90940000,State and Local Government,543400,566100,22700,4.2
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,90920000,State Government,91700,98900,7200,7.9
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,90921611,State Government Education,61600,68100,6500,10.6
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,90922000,State Government Excluding Education,30200,30800,600,2.0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,90930000,Local Government,451600,467200,15600,3.5
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,90931611,Local Government Education,230000,237100,7100,3.1
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,90932000,Local Government Excluding Education,221600,230100,8500,3.8
Metropolitan Area,Madera MSA (Madera County),2018-2028,000001,Total Employment,53400,60800,7400,13.9
Metropolitan Area,Madera MSA (Madera County),2018-2028,006010,Self Employment,2700,3000,300,11.1
Metropolitan Area,Madera MSA (Madera County),2018-2028,008010,Private Household Workers,40,40,0,0.0
Metropolitan Area,Madera MSA (Madera County),2018-2028,11000000,Total Farm,12300,13900,1600,13.0
Metropolitan Area,Madera MSA (Madera County),2018-2028,0,Total Nonfarm,38400,43900,5500,14.3
Metropolitan Area,Madera MSA (Madera County),2018-2028,15000000,"Mining, Logging, and Construction",1900,2200,300,15.8
Metropolitan Area,Madera MSA (Madera County),2018-2028,30000000,Manufacturing,3400,3600,200,5.9
Metropolitan Area,Madera MSA (Madera County),2018-2028,40000000,"Trade, Transportation, and Utilities",5700,6600,900,15.8
Metropolitan Area,Madera MSA (Madera County),2018-2028,41000000,Wholesale Trade,1000,1000,0,0.0
Metropolitan Area,Madera MSA (Madera County),2018-2028,42000000,Retail Trade,3900,4200,300,7.7
Metropolitan Area,Madera MSA (Madera County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",900,1100,200,22.2
Metropolitan Area,Madera MSA (Madera County),2018-2028,50000000,Information,300,300,0,0.0
Metropolitan Area,Madera MSA (Madera County),2018-2028,55000000,Financial Activities,700,800,100,14.3
Metropolitan Area,Madera MSA (Madera County),2018-2028,60000000,Professional and Business Services,2200,2500,300,13.6
Metropolitan Area,Madera MSA (Madera County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",8600,10500,1900,22.1
Metropolitan Area,Madera MSA (Madera County),2018-2028,65620000,Health Care and Social Assistance,8600,10400,1800,20.9
Metropolitan Area,Madera MSA (Madera County),2018-2028,70000000,Leisure and Hospitality,3500,4100,600,17.1
Metropolitan Area,Madera MSA (Madera County),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),900,1100,200,22.2
Metropolitan Area,Madera MSA (Madera County),2018-2028,90000000,Government,11000,12200,1200,10.9
Metropolitan Area,Madera MSA (Madera County),2018-2028,90910000,Federal Government,300,300,0,0.0
Metropolitan Area,Madera MSA (Madera County),2018-2028,90940000,State and Local Government,10700,11900,1200,11.2
Metropolitan Area,Madera MSA (Madera County),2018-2028,90920000,State Government,2500,2700,200,8.0
Metropolitan Area,Madera MSA (Madera County),2018-2028,90930000,Local Government,8200,9200,1000,12.2
Metropolitan Area,Madera MSA (Madera County),2018-2028,90931611,Local Government Education,4800,5200,400,8.3
Metropolitan Area,Madera MSA (Madera County),2018-2028,90932000,Local Government Excluding Education,3400,4000,600,17.6
Metropolitan Area,Merced MSA (Merced County),2018-2028,000001,Total Employment,88400,96300,7900,8.9
Metropolitan Area,Merced MSA (Merced County),2018-2028,006010,Self Employment,5500,5800,300,5.5
Metropolitan Area,Merced MSA (Merced County),2018-2028,008010,Private Household Workers,100,100,0,0.0
Metropolitan Area,Merced MSA (Merced County),2018-2028,11000000,Total Farm,14100,14700,600,4.3
Metropolitan Area,Merced MSA (Merced County),2018-2028,0,Total Nonfarm,68700,75700,7000,10.2
Metropolitan Area,Merced MSA (Merced County),2018-2028,15000000,"Mining, Logging, and Construction",2500,2900,400,16.0
Metropolitan Area,Merced MSA (Merced County),2018-2028,30000000,Manufacturing,9700,9500,-200,-2.1
Metropolitan Area,Merced MSA (Merced County),2018-2028,32000000,Nondurable Goods Manufacturing,8200,8200,0,0.0
Metropolitan Area,Merced MSA (Merced County),2018-2028,40000000,"Trade, Transportation, and Utilities",13600,15800,2200,16.2
Metropolitan Area,Merced MSA (Merced County),2018-2028,41000000,Wholesale Trade,1800,2000,200,11.1
Metropolitan Area,Merced MSA (Merced County),2018-2028,42000000,Retail Trade,8400,9100,700,8.3
